idx,code,name,lat,lon,match,source_code
0,a,aachen hbf (d),50.767800,6.091499,name,AHBF
1,ac,abcoude,52.278500,4.977000,code,AC
2,ah,arnhem,51.985001,5.899167,code,AH
3,ahp,arnhem velperpoort,51.985279,5.919445,code,AHP
4,ahpr,arnhem presikhaaf,51.988056,5.943889,code,AHPR
5,akl,arkel,51.871944,4.992778,code,AKL
6,akm,akkrum,53.046391,5.843611,code,AKM
7,alm,almere cs,52.375030,5.217640,code,ALM
8,almb,almere buiten,52.394165,5.278056,code,ALMB
9,almm,almere muziekwijk,52.367500,5.190278,code,ALMM
10,amf,amersfoort,52.153889,5.370555,code,AMF
11,amfs,amersfoort schothorst,52.174822,5.403889,code,AMFS
12,aml,almelo,52.358055,6.653889,code,AML
14,amr,alkmaar,52.637779,4.739722,code,AMR
15,amri,almelo de riet,52.341946,6.666667,code,AMRI
16,amrn,alkmaar noord,52.643890,4.764167,code,AMRN
17,ana,anna paulowna,52.867222,4.811111,code,ANA
18,apd,apeldoorn,52.209167,5.970278,code,APD
19,apg,appingedam,53.325814,6.861958,code,APG
20,apn,alphen aan den rijn,52.124443,4.657778,code,APN
21,arn,arnemuiden,51.501667,3.669167,code,ARN
23,asa,amsterdam amstel,52.346668,4.917778,code,ASA
24,asb,amsterdam bijlmer,52.312222,4.946944,code,ASB
25,asd,amsterdam cs,52.378887,4.900278,code,ASD
26,asdl,amsterdam lelylaan,52.357777,4.833889,code,ASDL
27,asdm,amsterdam muiderpoort,52.360554,4.931111,code,ASDM
29,asdz,amsterdam zuid wtc,52.338889,4.872356,code,ASDZ
30,asn,assen,52.991665,6.570833,code,ASN
31,ass,amsterdam sloterdijk,52.388889,4.837778,code,ASS
32,atn,aalten,51.921327,6.578627,code,ATN
33,atw,antwerpen centraal (b),51.216860,4.421242,code,ATW
35,aw,aachen west (d),50.780360,6.070715,code,AW
38,bd,breda,51.595554,4.780000,code,BD
39,bde,bunde,50.896946,5.736667,code,BDE
40,bdg,bodegraven,52.081390,4.746111,code,BDG
41,bdm,bedum,53.306886,6.593054,code,BDM
42,bdpb,breda-prinsenbeek,51.606388,4.720833,code,BDPB
43,berch,berchem (b),51.198914,4.433200,code,BERCH
45,bet,best,51.509998,5.389167,code,BET
46,bf,baflo,53.360897,6.518558,code,BF
47,bgn,bergen op zoom,51.493889,4.296111,code,BGN
48,bh,bad bentheim (d),52.309686,7.158537,code,BH
49,bhv,bilthoven,52.130001,5.203889,code,BHV
50,bk,beek-elsloo,50.947498,5.786667,code,BK
52,bkf,bovenkarspel flora,52.696110,5.252778,code,BKF
53,bkg,bovenkarspl-grootebroek,52.695000,5.237778,code,BKG
55,bkl,breukelen,52.171490,4.990600,code,BKL
56,bl,beilen,52.854721,6.521111,code,BL
57,bll,bloemendaal,52.404167,4.627500,code,BLL
58,bmn,brummen,52.091110,6.146945,code,BMN
59,bmr,boxmeer,51.644522,5.939033,code,BMR
60,bn,borne,52.298889,6.748055,code,BN
61,bnc,barneveld centrum,52.139999,5.590278,code,BNC
62,bnk,bunnik,52.063057,5.194445,code,BNK
63,bnn,barneveld noord,52.161388,5.598055,code,BNN
65,bp,buitenpost,53.256455,6.144650,code,BP
66,br,blerick,51.372501,6.155000,code,BR
68,brd,barendrecht,51.854721,4.553333,code,BRD
70,bressx,bressoux (b),50.643829,5.611254,code,BRESSX
72,brn,baarn,52.208332,5.280833,code,BRN
74,brusc,brussel centraal (b),50.845175,4.357131,code,BRUSC
75,brusn,brussel noord (b),50.859658,4.360854,code,BRUSN
76,brusz,brussel zuid (b),50.836782,4.336922,code,BRUSZ
77,bsd,beesd,51.899445,5.194445,code,BSD
78,bsk,boskoop,52.077778,4.646945,code,BSK
79,bsmz,bussum zuid,52.265835,5.163055,code,BSMZ
80,btl,boxtel,51.584330,5.319120,code,BTL
81,buende,buende (d),52.202075,8.573876,code,BUENDE
82,bv,beverwijk,52.478333,4.656667,code,BV
83,bzl,kapelle-biezelinge,51.480835,3.956111,code,BZL
84,cas,castricum,52.545834,4.658611,code,CAS
85,ck,cuijk,51.726683,5.874295,code,CK
86,cl,culemborg,51.946667,5.226944,code,CL
87,co,coevorden,52.663612,6.735556,code,CO
88,cps,capelle schollevaar,51.954166,4.584167,code,CPS
89,cvm,chevremont,50.876110,6.059722,code,CVM
90,da,daarlerveen,52.440770,6.575995,code,DA
91,db,driebergen-zeist,52.065277,5.258611,code,DB
92,ddn,delden,52.259998,6.716111,code,DDN
93,ddr,dordrecht,51.807220,4.668334,code,DDR
94,ddrs,dordrecht stadspolders,51.801945,4.716667,code,DDRS
95,ddzd,dordrecht zuid,51.790001,4.671389,code,DDZD
96,dei,deinum,53.188811,5.728157,code,DEI
97,did,didam,51.933502,6.132411,code,DID
99,dl,dalfsen,52.498333,6.258611,code,DL
100,dld,den dolder,52.140278,5.242778,code,DLD
101,dln,dalen,52.694168,6.758056,code,DLN
102,dmn,diemen,52.345150,4.967566,code,DMN
104,dn,deurne,51.455833,5.788889,code,DN
105,dr,dieren,52.044998,6.103055,code,DR
106,drh,driehuis,52.442501,4.638055,code,DRH
107,drp,dronrijp,53.177809,5.634741,code,DRP
109,dt,delft,52.006668,4.356389,code,DT
110,dtc,doetinchem,51.958596,6.296215,code,DTC
111,dtch,doetinchem de huet,51.959141,6.259852,code,DTCH
114,duisb,duisburg (d),51.429779,6.775904,code,DUISB
116,dussel,duesseldorf (d),51.220146,6.793137,code,DUSSEL
117,dv,deventer,52.257500,6.160555,code,DV
118,dvc,deventer colmschate,52.250278,6.214445,code,DVC
119,dvn,duiven,51.943333,6.014722,code,DVN
120,dvnk,de vink,52.147221,4.456389,code,DVNK
121,dz,delfzijl,53.333663,6.924080,code,DZ
122,dzw,delfzijl west,53.332083,6.906909,code,DZW
123,ec,echt,51.100555,5.878889,code,EC
124,ed,ede-wageningen,52.027779,5.673056,code,ED
125,edc,ede centrum,52.043610,5.668334,code,EDC
126,edn,eijsden,50.771946,5.710000,code,EDN
127,egh,eygelshoven,50.890556,6.045000,code,EGH
129,ehv,eindhoven,51.443333,5.481389,code,EHV
130,ekz,enkhuizen,52.699165,5.286389,code,EKZ
131,em,emmerich (d),51.834283,6.255718,code,EM
132,eml,ermelo,52.301666,5.614722,code,EML
133,emn,emmen,52.790001,6.899445,code,EMN
135,es,enschede,52.222500,6.890000,code,ES
136,esn,essen (b),51.462610,4.451290,code,ESN
137,esnd,essen (d),51.462610,4.451290,name,ESN
138,est,elst,51.916943,5.855000,code,EST
139,etn,etten-leur,51.575001,4.635833,code,ETN
140,fn,franeker,53.182449,5.548309,code,FN
141,fvs,vise (b),50.737810,5.692320,code,FVS
142,gbg,gramsbergen,52.609165,6.675833,code,GBG
143,gd,gouda,52.017502,4.704444,code,GD
145,gdm,geldermalsen,51.883010,5.271270,code,GDM
147,gentsp,gent st pieters (b),51.036174,3.710847,name,FGSP
148,gk,grijpskerk,53.255740,6.309779,code,GK
149,gln,geleen oost,50.966946,5.843056,code,GLN
151,gn,groningen,53.210556,6.564722,code,GN
152,gnd,hardinxveld-giessendam,51.830555,4.835834,code,GND
153,gnn,groningen noord,53.230147,6.556317,code,GNN
154,go,goor,52.230278,6.584445,code,GO
157,gp,geldrop,51.419724,5.550556,code,GP
158,gr,gorinchem,51.833889,4.968333,code,GR
161,gs,goes,51.498055,3.890556,code,GS
162,gv,den haag hs,52.069721,4.322500,code,GV
163,gvc,den haag cs,52.080276,4.325000,code,GVC
164,gvm,den haag mariahoeve,52.090557,4.369444,code,GVM
165,gw,grouw-irnsum,53.088890,5.822500,code,GW
166,gz,gilze-rijen,51.583611,4.926111,code,GZ
167,had,heemstede-aerdenhout,52.359165,4.606667,code,HAD
168,hagen,hagen (d),51.362747,7.460249,code,HAGEN
170,hann,hannover (d),52.377040,9.741676,code,HANN
171,hb,hoensbroek,50.905556,5.930555,code,HB
172,hd,harderwijk,52.337502,5.619722,code,HD
173,hdb,hardenberg,52.572777,6.628611,code,HDB
174,hde,harde ('t),52.409168,5.893611,code,HDE
175,hdg,hardegarijp,53.218778,5.934543,code,HDG
176,hdr,den helder,52.955276,4.761111,code,HDR
