idx,code,name,lat,lon,kind,wikidata,source_url
13,amld,ameland,53.450278,5.753611,island,Q208259,https://nl.wikipedia.org/wiki/Ameland
22,arnsb,arnsberg (d),51.405278,8.066667,station,Q800396,https://de.wikipedia.org/wiki/Bahnhof_Arnsberg_(Westfalen)
28,asdv,amsterdam de vlugtlaan,52.379444,4.838056,station,Q2117320,https://nl.wikipedia.org/wiki/Station_Amsterdam_De_Vlugtlaan
34,aulnoy,aulnoye (f),50.205000,3.836389,place,Q43411,https://fr.wikipedia.org/wiki/Aulnoye-Aymeries
36,badhar,bad harzburg (d),51.887810,10.555000,station,Q9163986,https://de.wikipedia.org/wiki/Bahnhof_Bad_Harzburg
37,badwil,bad wildungen (d),51.119630,9.136827,station,Q25088576,https://de.wikipedia.org/wiki/Bahnhof_Bad_Wildungen
44,bestw,bestwig (d),51.357500,8.386667,station,Q10928,https://de.wikipedia.org/wiki/Bestwig
51,bkb,breskens boulevard,51.395000,3.556944,place,Q641390,https://nl.wikipedia.org/wiki/Breskens
54,bkhn,breskens haven,51.395000,3.556944,place,Q641390,https://nl.wikipedia.org/wiki/Breskens
64,bochum,bochum (d),51.478506,7.222781,station,Q453861,https://de.wikipedia.org/wiki/Bochum_Hauptbahnhof
67,brauns,braunschweig (d),52.252222,10.539722,station,Q318930,https://de.wikipedia.org/wiki/Braunschweig_Hauptbahnhof
69,bremen,bremen (d),53.083056,8.813611,station,Q631094,https://de.wikipedia.org/wiki/Bremen_Hauptbahnhof
71,brilon,brilon wald (d),51.349100,8.576100,station,Q800569,https://de.wikipedia.org/wiki/Bahnhof_Brilon_Wald
73,brugge,brugge (b),51.197222,3.217222,station,Q800580,https://nl.wikipedia.org/wiki/Station_Brugge
98,dins,dinslaken (d),51.567526,6.737459,station,Q5278719,https://de.wikipedia.org/wiki/Bahnhof_Dinslaken
103,dmp,driemanspolder,52.048333,4.477222,station,Q1809110,https://nl.wikipedia.org/wiki/Driemanspolder_(sneltramhalte)
108,drt,druten koekoeksnest,51.888889,5.604444,place,Q932142,https://nl.wikipedia.org/wiki/Druten
112,dtwa,zoeterm. delftsewallen,52.047500,4.477500,station,Q430732,https://nl.wikipedia.org/wiki/Station_Zoetermeer
113,dtz,delft zuid,51.990556,4.365000,station,Q2096609,https://nl.wikipedia.org/wiki/Station_Delft_Campus
115,dulken,duelken (d),51.250833,6.330833,place,Q896146,https://de.wikipedia.org/wiki/D%C3%BClken
128,ehb,eindhoven beukenlaan,51.450833,5.456111,station,Q5317675,https://nl.wikipedia.org/wiki/Station_Eindhoven_Strijp-S
134,emnb,emmen bargeres,52.758056,6.889722,station,Q4916257,https://nl.wikipedia.org/wiki/Station_Emmen_Bargeres
144,gdk,geerdijk,52.476111,6.566667,station,Q2488611,https://nl.wikipedia.org/wiki/Station_Geerdijk
146,gentdp,gent dampoort (b),51.055556,3.740833,station,Q3096519,https://nl.wikipedia.org/wiki/Station_Gent-Dampoort
150,gm,gemert,51.531111,5.719444,place,Q9836,https://nl.wikipedia.org/wiki/Gemert-Bakel
155,goslar,goslar (d),51.911111,10.423056,station,Q18616524,https://de.wikipedia.org/wiki/Bahnhof_Goslar
156,gouvy,gouvy (b),50.190047,5.953350,station,Q3096564,https://nl.wikipedia.org/wiki/Station_Gouvy
159,greven,grevenbroich (d),51.093266,6.580173,station,Q800839,https://de.wikipedia.org/wiki/Bahnhof_Grevenbroich
160,grv,grave,51.759722,5.740833,place,Q9839,"https://en.wikipedia.org/wiki/Grave,_Netherlands"
169,hamh,hamburg hbf (d),53.552778,10.006389,station,Q6456,https://de.wikipedia.org/wiki/Hamburg_Hauptbahnhof
177,hdrh,den helder haven,52.956389,4.760833,station,Q800655,https://nl.wikipedia.org/wiki/Station_Den_Helder
184,hildes,hildesheim (d),52.160556,9.953889,station,Q324775,https://de.wikipedia.org/wiki/Hildesheim_Hauptbahnhof
187,hld,hoek van holland haven,51.981111,4.128611,place,Q990130,https://nl.wikipedia.org/wiki/Hoek_van_Holland
188,hlds,hoek van holland strand,51.981111,4.128611,place,Q990130,https://nl.wikipedia.org/wiki/Hoek_van_Holland
200,holw,holwerd,53.364700,5.905189,station,Q1953277,https://nl.wikipedia.org/wiki/Station_Holwerd
210,hul,hulst,51.276400,4.047261,station,Q800936,https://nl.wikipedia.org/wiki/Station_Hulst
212,hvsn,hilversum noord,52.237778,5.173889,station,Q2079829,https://nl.wikipedia.org/wiki/Station_Hilversum_Media_Park
216,ibbenb,ibbenbueren (d),52.276190,7.715800,place,Q4175,https://de.wikipedia.org/wiki/Ibbenb%C3%BCren
219,kbw,koog bloemwijk,52.457778,4.805556,station,Q783692,https://nl.wikipedia.org/wiki/Station_Koog_aan_de_Zaan
225,knokke,knokke (b),51.339722,3.284722,station,Q2785861,https://nl.wikipedia.org/wiki/Station_Knokke
227,korb,korbach (d),51.278427,8.873122,station,Q801025,https://de.wikipedia.org/wiki/Korbach_Hauptbahnhof
229,krb,kranenburg (d),51.789722,6.007222,place,Q243266,https://de.wikipedia.org/wiki/Kranenburg_(Niederrhein)
232,krgv,kruiningen haven,51.448056,4.034167,place,Q1025055,https://nl.wikipedia.org/wiki/Kruiningen
235,kzd,koog-zaandijk,52.458889,4.802778,place,Q2260299,https://nl.wikipedia.org/wiki/Koog_aan_de_Zaan
240,ldv,leidschendam-voorburg,52.066515,4.358694,station,Q7941701,https://nl.wikipedia.org/wiki/Station_Voorburg
244,ley,zoeterm. de leyens,52.047500,4.477500,station,Q430732,https://nl.wikipedia.org/wiki/Station_Zoetermeer
248,lohne,loehne (d),52.189722,8.688333,place,Q14863,https://de.wikipedia.org/wiki/L%C3%B6hne
254,lux,luxemburg (l),49.611667,6.131944,place,Q1842,https://en.wikipedia.org/wiki/Luxembourg_City
256,lwo,lauwersoog,53.403889,6.218889,place,Q1007150,https://nl.wikipedia.org/wiki/Lauwersoog
259,md,made g.schalckenstr.,51.676389,4.792500,place,Q985372,https://nl.wikipedia.org/wiki/Made_(Noord-Brabant)
